50.51, 3830
50.7, 3876
50.88, 3833
51.06, 3906
51.25, 3977
51.43, 3936
51.62, 3840
51.8, 3773
51.98, 3587
52.17, 3345
52.35, 3272
52.54, 3078
52.72, 3018
52.9, 3105
53.09, 3207
53.27, 3368
53.46, 3578
53.64, 3651
53.82, 3777
54.01, 3888
54.19, 3959
54.38, 3936
54.56, 3859
54.74, 3668
54.93, 3507
55.11, 3405
55.3, 3344
55.48, 3174
55.66, 3210
55.85, 3369
56.03, 3420
56.22, 3536
56.4, 3566
56.58, 3597
56.77, 3707
56.95, 3806
57.14, 3788
57.32, 3840
57.5, 3951
57.69, 4080
57.87, 4226
58.06, 4305
58.24, 4308
58.42, 4203
58.61, 4139
58.79, 3942
58.98, 3779
59.16, 3801
59.34, 3773
59.53, 3653
59.71, 3549
59.9, 3585
60.08, 3639
60.26, 3482
60.45, 3549
60.63, 3600
60.81, 3696
61.0, 3702
61.18, 3717
61.37, 3714
61.55, 3630
61.73, 3518
61.92, 3486
62.1, 3471
62.29, 3533
62.47, 3573
62.65, 3705
62.84, 3791
63.02, 3708
63.21, 3599
63.39, 3648
63.57, 3636
63.76, 3512
63.94, 3428
64.13, 3354
64.31, 3440
64.49, 3570
64.68, 3725
64.86, 3867
65.05, 4011
65.23, 4118
65.41, 4071
65.6, 3957
65.78, 3879
65.97, 3723
66.15, 3603
66.33, 3609
66.52, 3744
66.7, 3830
66.89, 3744
67.07, 3800
67.25, 3879
67.44, 3788
67.62, 3813
67.81, 3768
67.99, 3602
68.17, 3363
68.36, 3135
68.54, 3017
68.73, 3021
68.91, 3042
69.09, 3042
69.28, 2820
69.46, 2738
69.6, 2738
69.6, 2777
69.66, 2816
69.83, 2959
69.99, 2949
70.16, 3041
70.33, 3128
70.5, 3162
70.67, 3216
70.84, 3245
71.01, 3228
71.18, 3130
71.35, 2966
71.52, 3031
71.69, 3151
71.86, 3262
72.02, 3258
72.19, 3378
72.36, 3452
72.53, 3594
72.7, 3644
72.87, 3570
73.04, 3617
73.21, 3577
73.38, 3537
73.55, 3452
73.72, 3346
73.88, 3280
74.05, 3156
74.22, 3165
74.39, 3249
74.56, 3397
74.73, 3392
74.9, 3419
75.07, 3265
75.24, 3132
75.41, 3064
75.58, 3152
75.75, 3254
75.91, 3340
76.08, 3450
76.25, 3464
76.42, 3436
76.59, 3439
76.76, 3463
76.93, 3487
77.1, 3497
77.27, 3515
77.44, 3514
77.61, 3596
77.78, 3636
77.94, 3676
78.11, 3773
78.28, 3749
78.45, 3851
78.62, 3913
78.79, 4051
78.96, 4233
79.13, 4250
79.3, 4181
79.47, 4231
79.64, 4377
79.81, 4524
79.97, 4604
80.14, 4553
80.31, 4409
80.48, 4254
80.65, 4285
80.82, 4441
80.99, 4552
81.16, 4662
81.33, 4613
81.5, 4601
81.67, 4583
81.83, 4575
82.0, 4554
82.17, 4579
82.34, 4651
82.51, 4679
82.68, 4698
82.85, 4569
83.02, 4506
83.19, 4512
83.36, 4495
83.53, 4527
83.7, 4605
83.86, 4592
84.03, 4656
84.2, 4740
84.37, 4756
84.54, 4746
84.71, 4848
84.88, 4855
85.05, 4846
85.22, 4772
85.39, 4675
85.56, 4649
85.73, 4572
85.89, 4522
86.06, 4383
86.23, 4508
86.4, 4650
86.57, 4752
86.74, 4783
86.91, 4879
87.08, 4961
87.25, 5019
87.42, 5070
87.59, 5128
87.75, 5216
87.92, 5282
88.09, 5428
88.26, 5416
88.43, 5341
88.6, 5275
88.77, 5225
88.94, 5122
89.11, 5104
89.28, 5108
89.45, 5057
89.62, 5068
89.78, 5002
89.95, 4912
90.12, 4827
90.29, 4764
90.46, 4683
90.63, 4597
90.8, 4513
90.97, 4479
91.14, 4477
91.31, 4522
91.48, 4501
91.65, 4550
91.81, 4448
91.98, 4493
92.15, 4364
92.32, 4337
92.49, 4264
92.66, 4300
92.83, 4352
93.0, 4417
93.17, 4486
93.34, 4559
93.51, 4665
93.67, 4703
93.84, 4611
94.01, 4615
94.18, 4659
94.35, 4706
94.52, 4793
94.69, 4860
94.86, 4901
95.03, 4932
95.2, 4874
95.37, 4758
95.54, 4691
95.7, 4669
95.87, 4693
96.04, 4766
96.21, 4765
96.38, 4734
96.55, 4672
96.72, 4691
96.89, 4665
97.06, 4604
97.23, 4533
97.4, 4464
97.57, 4373
97.73, 4329
97.9, 4348
98.07, 4391
98.24, 4475
98.41, 4492
98.58, 4513
98.75, 4642
98.92, 4740
99.09, 4797
99.26, 4790
99.43, 4800
99.59, 4766
99.76, 4849
99.93, 4819
100.1, 4908
100.27, 5125
100.44, 5092
100.61, 5047
100.78, 4991
100.95, 4987
101.12, 4958
101.29, 4946
101.46, 4967
101.62, 4965
101.79, 4941
101.96, 4859
102.13, 4808
102.3, 4722
102.47, 4626
102.64, 4452
102.81, 4381
102.98, 4337
103.15, 4241
103.32, 4149
103.49, 4159
103.65, 4161
103.82, 4213
103.99, 4147
104.16, 4260
104.33, 4376
104.5, 4445
104.67, 4453
104.84, 4457
105.01, 4486
105.18, 4386
105.35, 4310
105.52, 4248
105.68, 4130
105.85, 4035
106.02, 3873
106.19, 3792
106.36, 3759
106.53, 3738
106.7, 3757
106.87, 3799
107.04, 3817
107.21, 3891
107.38, 4030
107.54, 4057
107.71, 4195
107.88, 4235
108.05, 4245
108.22, 4281
108.39, 4311
108.56, 4332
108.73, 4335
108.9, 4334
109.07, 4377
109.24, 4312
109.41, 4242
109.57, 4184
109.74, 4101
109.8, 4129
109.8, 4103
109.85, 4066
110.1, 3917
110.35, 3734
110.61, 3782
110.86, 3925
111.11, 3993
111.36, 4023
111.61, 4066
111.87, 4229
112.12, 4362
112.37, 4496
112.62, 4469
112.88, 4387
113.13, 4434
113.38, 4567
113.63, 4629
113.88, 4683
114.14, 4826
114.39, 4858
114.64, 4979
114.89, 4884
115.14, 4725
115.4, 4567
115.65, 4534
115.9, 4388
116.15, 4224
116.4, 4237
116.66, 4360
116.91, 4484
117.16, 4587
117.41, 4644
117.66, 4894
117.92, 5056
118.17, 5259
118.42, 5319
118.67, 5293
118.92, 5165
119.18, 5075
119.43, 5045
119.68, 5219
119.93, 5268
120.19, 5142
120.44, 4968
120.69, 4634
120.94, 4480
121.19, 4494
121.45, 4461
121.7, 4483
121.95, 4460
122.2, 4581
122.45, 4637
122.71, 4693
122.96, 4656
123.21, 4606
123.46, 4498
123.71, 4409
123.97, 4394
124.22, 4279
124.47, 4333
124.72, 4456
124.97, 4633
125.23, 4746
125.48, 4885
125.73, 4985
125.98, 5056
126.23, 5096
126.49, 5031
126.74, 4968
126.99, 4958
127.24, 4928
127.5, 4953
127.75, 4952
128.0, 5004
128.25, 4897
128.5, 4744
128.76, 4537
129.01, 4440
129.26, 4215
129.51, 4009
129.76, 3920
130.02, 4048
130.27, 4114
130.52, 4326
130.77, 4515
131.02, 4468
131.28, 4380
131.53, 4097
131.78, 4063
132.03, 4040
132.28, 4059
132.54, 4076
132.79, 4119
133.04, 4033
133.29, 3692
133.54, 3496
133.8, 3445
134.05, 3377
134.3, 3169
134.55, 3200
134.8, 2963
135.06, 2642
135.31, 2630
135.56, 2571
135.81, 2448
136.07, 2340
136.32, 2176
136.57, 2097
136.82, 1968
137.07, 1873
137.33, 1753
137.58, 1855
137.83, 1974
138.08, 2165
138.33, 2338
138.59, 2431
138.84, 2391
139.09, 2459
139.34, 2593
139.59, 2820
139.85, 2913
140.1, 3008
140.35, 3007
140.6, 3055
140.85, 3257
141.11, 3311
141.36, 3402
141.61, 3556
141.86, 3726
142.11, 3827
142.37, 4114
142.62, 4212
142.87, 4405
143.12, 4638
143.38, 4491
143.63, 4522
143.88, 4461
144.13, 4564
144.38, 4605
144.64, 4733
144.89, 4787
145.14, 4972
145.39, 4831
145.64, 4664
145.9, 4451
146.15, 4333
146.4, 4097
146.65, 3984
146.9, 4021
147.16, 3894
147.41, 3822
147.66, 3683
147.91, 3769
148.16, 3797
148.42, 3732
148.67, 3637
148.92, 3596
149.17, 3807
149.42, 3717
149.68, 3746
149.93, 3727
150.18, 3547
150.43, 3438
150.69, 3221
150.94, 3221
151.19, 3289
151.44, 3345
151.69, 3374
151.95, 3323
152.2, 3562
152.45, 3875
152.7, 3887
152.95, 3954
153.21, 3669
153.46, 3590
153.71, 3562
153.96, 3853
154.21, 3694
154.47, 3577
154.72, 3571
154.97, 3565
155.22, 3522
155.47, 3563
155.73, 3636
155.98, 3673
156.23, 3696
156.48, 3742
156.73, 3706
156.99, 3627
157.24, 3598
157.49, 3509
157.74, 3514
158.0, 3381
158.25, 3234
158.5, 3012
158.75, 3093
159.0, 3119
159.26, 3061
159.51, 3190
159.76, 3368
160.01, 3437
160.26, 3584
160.52, 3438
160.77, 3437
161.02, 3480
